,EMA,average_return
0,The 2 ema,0.04456116940318844
1,The 3 ema,0.041219157320343536
2,The 4 ema,0.033520704605568996
3,The 5 ema,0.03473255679649445
4,The 6 ema,0.04454623344755704
5,The 7 ema,0.04147637192314857
6,The 8 ema,0.03981216249879971
7,The 9 ema,0.03579917575615865
8,The 10 ema,0.03191505119326221
9,The 11 ema,0.03465721214606998
10,The 12 ema,0.03682742980322473
11,The 13 ema,0.03827034047912403
12,The 14 ema,0.03970675831221837
13,The 15 ema,0.04047822179316296
14,The 16 ema,0.04245176908803927
15,The 17 ema,0.03894494349986943
16,The 18 ema,0.041287154829054984
17,The 19 ema,0.04117330143399034
18,The 20 ema,0.043150702728887325
19,The 21 ema,0.039067202179344784
20,The 22 ema,0.04229845844434399
21,The 23 ema,0.04065828794249482
22,The 24 ema,0.03739089183563893
23,The 25 ema,0.037006922607905945
24,The 26 ema,0.03940442442192138
25,The 27 ema,0.04084594005882036
26,The 28 ema,0.04036668959204093
27,The 29 ema,0.04137564243913805
28,The 30 ema,0.04530052530874373
29,The 31 ema,0.04404771372874183
30,The 32 ema,0.04508055936985711
31,The 33 ema,0.04542616320570869
32,The 34 ema,0.046791214874979836
33,The 35 ema,0.047928615490879345
34,The 36 ema,0.04724640112999334
35,The 37 ema,0.05092134495069067
36,The 38 ema,0.05210425925034268
37,The 39 ema,0.05099223112289408
38,The 40 ema,0.05151645242837355
39,The 41 ema,0.05296113886589682
40,The 42 ema,0.05270612105714578
41,The 43 ema,0.050941517584103924
42,The 44 ema,0.05327113113289328
43,The 45 ema,0.05400318791486014
44,The 46 ema,0.05473145906744259
45,The 47 ema,0.05667591630291979
46,The 48 ema,0.05568243576603038
47,The 49 ema,0.05463341842357128
48,The 50 ema,0.0559225438822748
49,The 51 ema,0.05744651999424266
50,The 52 ema,0.058063269807102635
51,The 53 ema,0.05814961201358315
52,The 54 ema,0.05543357839679697
53,The 55 ema,0.05841927730142937
54,The 56 ema,0.05681124975303309
55,The 57 ema,0.057751570751235715
56,The 58 ema,0.057557242372600514
57,The 59 ema,0.05664436368923398
58,The 60 ema,0.05748578199186127
59,The 61 ema,0.05922407456417034
60,The 62 ema,0.0572093551329107
61,The 63 ema,0.05284985032347178
62,The 64 ema,0.05197740835888043
63,The 65 ema,0.05095096453964931
64,The 66 ema,0.04874702625154681
65,The 67 ema,0.04907733730327157
66,The 68 ema,0.048155335064635096
67,The 69 ema,0.04675564756436312
68,The 70 ema,0.04799007299632052
69,The 71 ema,0.047292226242008795
70,The 72 ema,0.04924609423624671
71,The 73 ema,0.049016780964407536
72,The 74 ema,0.04993829244519166
73,The 75 ema,0.05044949084386019
74,The 76 ema,0.04976846856100137
75,The 77 ema,0.04802500684032229
76,The 78 ema,0.05092324268773418
77,The 79 ema,0.05157010892141645
78,The 80 ema,0.05036122930014009
79,The 81 ema,0.05024206162849065
80,The 82 ema,0.05073255719503633
81,The 83 ema,0.05234369479802625
82,The 84 ema,0.050612748199784896
83,The 85 ema,0.05272533945814395
84,The 86 ema,0.05203912898867191
85,The 87 ema,0.051480866081752064
86,The 88 ema,0.05042621411236481
87,The 89 ema,0.05062996822581267
88,The 90 ema,0.04994328176068197
89,The 91 ema,0.04889486113500863
90,The 92 ema,0.048119243252426
91,The 93 ema,0.048458015910853414
92,The 94 ema,0.0495394844335979
93,The 95 ema,0.049632001515492075
94,The 96 ema,0.05088648955317576
95,The 97 ema,0.04990119743892296
